サイコパス,0
シスコン,0
光源氏,0
ニシコパス,0
緑の服,0
nanaco,0
虫アレルギー,0
アルバイター,0
銀だコパス,0
充電切れ,0
ペコペコ,0
集まりなぁーこのパーティはーこれからさー,1
あぁー廃棄のたこ焼き落としちゃったぁー,1
夜が来たぁ目覚ましなぁ,1
フォレオが好きだからです,1
こんなんしてるからあかんねん,1
マジナンナン,0
変態,0
SUNDAI,0
非課金TV,0
情報学科,0
スクショ派,0
湯切りアンチ,0
平井堅,0
AQUOS sense8,0
お金持ち,0
ｳｪｲｲｲｨｨｨ!!!ﾔｯﾌｩｩ!!!,1
AQUOS R18 pro,0
Ubuntu,0
サンドイッチ,0
ラーメンと青のりが大好き,1
ブルスク,0
千原ジュニア,0
千源ジュニア,2
千原ジュニア,2
カップなめなめ,0
廃棄のたこ焼き,0
ブロハラガチ勢,0
ハニアオノリ,0
Caps Lock,0
ラーメン　月２万,0
垂直フォークナイフ,0
アルバイターの鑑,0
Surface,0
またまたバイト、、、、オワッタ...,1
隠れグリーン,0
SIMカード割男,0
昼食にたけのこの里,1
イライラス,0
追いスパイス,0
検索派,0
一旦抜ける派,0
-sinθ,0
改行,0
Spotify課金勢,0
アプデアンチ,0
限界大学生,0
ファンタオレンジ,0
ナイチンチンゲール,0
Amazon信者,0
AQUOS,0
急性Amazon中毒,0
bluetooth充電の仕方,0
さらさらフィルム,0
ふってふってゼリー信者,0
表情筋フル稼働,0
ウンコパス,0
ストロー勘違いer,0
ゆず七味西村,0
指紋認証初心者,0
スマートニュース,0
元旦バイト野郎,0
元日バイト野郎,3
元旦バイト野郎,3
バンドルカード,0
ヘブバン特攻隊,0
ゴキブリ,0
雪柱,0
hentai,0
Editor,0
原神,0
崩壊スターレイル,0
ゼンレスゾーンゼロ,0
狂人,0
課金　月２万,0
情報学科,0
つ,0
くら寿司アンチ,0
Google Playゴールド会員,0
40万プレイヤー,0
課金は募金,0
Fateはサブスク,0
コパス大好き人間,0
性犯罪者予備軍,0
幼女使い,0
悲しい人生です。,1
ロール数１位,0
死んじゃうぅ死んじゃうぅ,1
焼肉の子,0
焼肉きんぐアンチ,0
原神もサブスク,0
早速課金,0
男キャラアンチ,0
ココナッツヒツジ,0
ハネダクライシス,0
廃課金,0
完トツ,0
課金は投資,0
強運,0
課金依存症,0
課金するついでに課金,1
実数値,0
観賞用武器,0
結局引く,0
ドタキャン太郎,0
バイト交代のプロ,0
原神しながら原神起動,1
限界大学生,0
キーボードクラッシャー,0
女の敵,0
ありふれたロリコン,0
ホヨバの犬,0
たばたニャンニャン,0
落胆のプロ,0
Xioami 14Ultla,2
Xiaomi 14Ultla,2
Xiaomi 14Ultla,0
OPPO Find x8,0
xioami,0
Oppo,0
UGREEN,0
Galaxy,0
SIMカード割り男回避,0
アルバイター,0
重課金,0
無敵の人,0
n+1日後にPC購入,1
n+1日後にスマホ購入,1
lI|l|1I1|,2
くぁwせdrftgyふじこlp,2
たこ焼きで胃もたれ,1
つぶ貝信者,1
nishichopass,2
SPECIALZ,0
nishichopass syuukyoudantai,2
nishichopath syuukyoudantai,2
ニシコパス宗教団体,0
あぷぬどん,0
日非火被匕陽費飛碑,2
滋賀県立東大津高等学校,2
Bling-Bang-Bang-Born,2
ネオアームストロングサイクロンジェットアームストロング砲,2
Visual Studio Code,1
サンタマリアインコスメディン教会,2
血管蕎麦大盛り爪散らし,1
print(f'Logged in as {bot.user.name}'),2
bot = commands.Bot(command_prefix='!' intents=intents),2
モエチャッカファイヤ,0
八握剣異戒神将魔虚羅,2
酒カス予備軍,0
酒カス,0
Vpass信者,0
ラーメン信者,0
ギャンブル依存症,0
ギャンブル,0
オッズパーク,0
Paidy,0
モバイルバッテリーデカすぎ,1
広州菜館アンチ,0
シャスの人,0
シャス,0
シャス信者,0